FLTID,REG,ADEP,ADES,ALDT,AIBT,SIBT,FLTRUL,TYPE,WTC,RWY,STND,SRC_PHASE,SAM_ID,C40_CROSS_TIME,C40_CROSS_LAT,C40_CROSS_LON,C40_CROSS_FL,C100_CROSS_TIME,C100_CROSS_LAT,C100_CROSS_LON,C100_CROSS_FL
AAL106,N773AN,KJFK,EGLL,2018-06-05T06:53:00Z,2018-06-05T07:05:00Z,2018-06-05T07:10:00Z,IFR,B772,H,09L,336,ARR,218990586,2018-06-05T06:24:49Z,51.366388888888906,-1.5147222222222199,141,2018-06-05T06:13:24Z,51.5236111111111,-3.1319444444444398,257
SHT3N,GEUOG,EGCC,EGLL,2018-06-05T06:49:00Z,2018-06-05T06:56:00Z,2018-06-05T07:10:00Z,IFR,A319,MJ,09L,501,ARR,218996016,2018-06-05T06:22:03Z,51.984444444444385,-1.1588888888888902,144,2018-06-05T06:10:39Z,52.86416666666669,-1.9597222222222197,187
SHT88P,GEUUU,EGAC,EGLL,2018-06-05T06:59:00Z,2018-06-05T07:08:00Z,2018-06-05T07:15:00Z,IFR,A320,MJ,09L,503,ARR,218995551,2018-06-05T06:33:45Z,51.9597222222222,-1.20555555555556,151,2018-06-05T06:22:39Z,52.800833333333294,-2.10694444444444,290
BAW4AB,GEUYL,EDDT,EGLL,2018-06-05T07:26:00Z,2018-06-05T07:34:00Z,2018-06-05T07:15:00Z,IFR,A320,MJ,09L,509,ARR,218994571,2018-06-05T07:00:03Z,51.5952777777778,0.598055555555555,146,2018-06-05T06:49:05Z,51.671388888888906,2.20583333333333,271
SWR352,HBJCA,LSGG,EGLL,2018-06-05T07:03:00Z,2018-06-05T07:11:00Z,2018-06-05T07:15:00Z,IFR,BCS3,MJ,09L,216,ARR,218995194,2018-06-05T06:37:51Z,51.09166666666669,0.403611111111111,149,2018-06-05T06:28:15Z,50.384722222222194,1.53138888888889,313
DLH6MM,DAIDP,EDDM,EGLL,2018-06-05T07:27:00Z,2018-06-05T07:35:00Z,2018-06-05T07:15:00Z,IFR,A321,MJ,09L,226,ARR,218994534,2018-06-05T07:01:45Z,51.67944444444439,0.565277777777778,150,2018-06-05T06:51:03Z,51.6197222222222,2.21888888888889,297
BAW901U,GEUPM,EDDF,EGLL,2018-06-05T07:16:00Z,2018-06-05T07:19:00Z,2018-06-05T07:15:00Z,IFR,A319,MJ,09L,561,ARR,218994889,2018-06-05T06:51:53Z,51.63166666666669,0.5847222222222219,143,2018-06-05T06:41:11Z,51.6372222222222,2.2133333333333303,286
BAW116,GCIVW,KJFK,EGLL,2018-06-05T07:11:00Z,2018-06-05T07:20:00Z,2018-06-05T07:20:00Z,IFR,B744,H,09L,544,ARR,218990695,2018-06-05T06:41:46Z,51.421388888888906,-1.52361111111111,141,2018-06-05T06:31:07Z,51.6380555555555,-3.12055555555556,290
AUA451P,OELBR,LOWW,EGLL,2018-06-05T07:13:00Z,2018-06-05T07:21:00Z,2018-06-05T07:20:00Z,IFR,A320,MJ,09L,220,ARR,218993636,2018-06-05T06:48:51Z,51.706111111111106,0.546111111111111,129,2018-06-05T06:38:39Z,51.7847222222222,2.17833333333333,284
EWG7NP,DAKNH,EDDS,EGLL,2018-06-05T07:14:00Z,2018-06-05T07:22:00Z,2018-06-05T07:25:00Z,IFR,A319,MJ,09L,223,ARR,218995435,2018-06-05T06:49:45Z,51.6080555555556,0.592777777777778,141,2018-06-05T06:39:06Z,51.610277777777796,2.2144444444444398,305
IBE3170,ECJFN,LEMD,EGLL,2018-06-05T07:06:00Z,2018-06-05T07:14:00Z,2018-06-05T07:25:00Z,IFR,A320,MJ,09L,517,ARR,218993840,2018-06-05T06:39:09Z,50.9208333333333,-1.04388888888889,154,2018-06-05T06:29:19Z,50.002500000000005,-1.68527777777778,318
BAW56NL,GEUYA,LIML,EGLL,2018-06-05T07:20:00Z,2018-06-05T07:27:00Z,2018-06-05T07:30:00Z,IFR,A320,MJ,09L,513,ARR,218994926,2018-06-05T06:52:15Z,51.0908333333333,0.403055555555556,150,2018-06-05T06:43:10Z,50.3855555555555,1.5325,337
SHT7S,GEUPA,EGPF,EGLL,2018-06-05T07:09:00Z,2018-06-05T07:22:00Z,2018-06-05T07:30:00Z,IFR,A319,MJ,09L,505,ARR,218995851,2018-06-05T06:45:08Z,51.9677777777778,-1.19333333333333,151,2018-06-05T06:34:18Z,52.79638888888891,-2.12055555555556,314
SHT9U,GEUPT,EGPH,EGLL,2018-06-05T07:24:00Z,2018-06-05T07:30:00Z,2018-06-05T07:30:00Z,IFR,A319,MJ,09L,506,ARR,218995725,2018-06-05T07:04:03Z,52.028055555555504,-1.07,151,2018-06-05T06:53:25Z,52.818055555555596,-2.0727777777777803,327
UAL931,N642UA,KORD,EGLL,2018-06-05T07:21:00Z,2018-06-05T07:25:00Z,2018-06-05T07:30:00Z,IFR,B763,H,09L,249,ARR,218990486,2018-06-05T06:55:42Z,51.34083333333329,-1.5058333333333298,130,2018-06-05T06:44:03Z,51.605000000000004,-3.12305555555556,269
BAW947L,GEUXL,EDDM,EGLL,2018-06-05T07:37:00Z,2018-06-05T07:58:00Z,2018-06-05T07:30:00Z,IFR,A321,MJ,09L,563,ARR,218994818,2018-06-05T07:13:17Z,51.6797222222222,0.562777777777778,150,2018-06-05T07:02:29Z,51.712500000000006,2.2,288
EWG460,DAKNJ,EDDK,EGLL,2018-06-05T07:30:00Z,2018-06-05T07:38:00Z,2018-06-05T07:35:00Z,IFR,A319,MJ,09L,224,ARR,218996098,2018-06-05T07:07:57Z,51.6736111111111,0.565277777777778,150,2018-06-05T06:56:57Z,51.6636111111111,2.2083333333333304,261
ACA848,CFITW,CYYZ,EGLL,2018-06-05T07:31:00Z,2018-06-05T07:43:00Z,2018-06-05T07:35:00Z,IFR,B77W,H,09L,238,ARR,218990816,2018-06-05T07:08:33Z,51.3608333333333,-1.51138888888889,140,2018-06-05T06:57:48Z,51.5822222222222,-3.12638888888889,289
SHT19S,GEUPB,EGPD,EGLL,2018-06-05T07:22:00Z,2018-06-05T07:41:00Z,2018-06-05T07:35:00Z,IFR,A319,MJ,09L,507,ARR,218995849,2018-06-05T06:57:57Z,51.881944444444386,-1.31472222222222,140,2018-06-05T06:46:25Z,52.7486111111111,-2.20638888888889,317
BAW477,GEUYX,LEBL,EGLL,2018-06-05T07:17:00Z,2018-06-05T07:19:00Z,2018-06-05T07:35:00Z,IFR,A320,MJ,09L,355,ARR,218994453,2018-06-05T06:51:49Z,50.9183333333333,-1.0416666666666698,132,2018-06-05T06:41:32Z,50.00166666666669,-1.68472222222222,313
BAW811,GEUXI,EKCH,EGLL,2018-06-05T07:36:00Z,2018-06-05T07:49:00Z,2018-06-05T07:35:00Z,IFR,A321,MJ,09L,518,ARR,218994870,2018-06-05T07:11:51Z,51.6847222222222,0.559722222222222,140,2018-06-05T07:01:04Z,51.79333333333331,2.1777777777777807,293
DLH900,DAIUB,EDDF,EGLL,2018-06-05T07:28:00Z,2018-06-05T07:38:00Z,2018-06-05T07:40:00Z,IFR,A320,MJ,09L,218L,ARR,218995950,2018-06-05T07:06:48Z,51.6486111111111,0.5786111111111111,145,2018-06-05T06:55:58Z,51.5436111111111,2.22194444444444,296
EIN71K,EIDES,EICK,EGLL,2018-06-05T08:16:00Z,2018-06-05T08:25:00Z,2018-06-05T07:45:00Z,IFR,A320,MJ,09L,223,ARR,218997831,2018-06-05T07:54:51Z,51.405,-1.52138888888889,140,2018-06-05T07:44:02Z,51.5327777777778,-3.13,290
VIR138M,GVRAY,KJFK,EGLL,2018-06-05T07:34:00Z,2018-06-05T07:42:00Z,2018-06-05T07:45:00Z,IFR,A333,H,09L,305,ARR,218990776,2018-06-05T07:14:38Z,51.360277777777796,-1.5116666666666698,140,2018-06-05T07:02:43Z,51.5888888888889,-3.1261111111111104,263
VIR104L,GVSXY,KATL,EGLL,2018-06-05T07:33:00Z,2018-06-05T07:39:00Z,2018-06-05T07:45:00Z,IFR,A333,H,09L,316,ARR,218990498,2018-06-05T07:11:10Z,51.3755555555556,-1.5163888888888901,140,2018-06-05T06:59:44Z,51.480833333333294,-3.1311111111111103,270
SAS51M,EISIA,EKCH,EGLL,2018-06-05T07:45:00Z,2018-06-05T07:53:00Z,2018-06-05T07:50:00Z,IFR,A320,MJ,09L,218R,ARR,218995692,2018-06-05T07:25:05Z,51.6797222222222,0.5619444444444441,137,2018-06-05T07:14:40Z,51.7847222222222,2.1794444444444396,293
BEE3TC,GPRPC,EGPD,EGLL,2018-06-05T07:52:00Z,2018-06-05T07:58:00Z,2018-06-05T08:00:00Z,IFR,DH8D,MT,09L,253R,ARR,218996252,2018-06-05T07:31:57Z,51.985,-1.15916666666667,157,2018-06-05T07:19:15Z,52.83694444444439,-2.02583333333333,250
BAW92W,GCIVN,KDFW,EGLL,2018-06-05T07:57:00Z,2018-06-05T08:08:00Z,2018-06-05T08:00:00Z,IFR,B744,H,09L,533,ARR,218990305,2018-06-05T07:28:14Z,51.39444444444439,-1.52111111111111,138,2018-06-05T07:17:12Z,51.587222222222195,-3.12805555555556,270
BAW341,GEUPP,LFMN,EGLL,2018-06-05T07:42:00Z,2018-06-05T07:53:00Z,2018-06-05T08:00:00Z,IFR,A319,MJ,09L,520,ARR,218995544,2018-06-05T07:20:11Z,51.0380555555556,0.33833333333333293,146,2018-06-05T07:10:17Z,50.38416666666669,1.5325,319
AAL728,N275AY,KPHL,EGLL,2018-06-05T09:17:00Z,2018-06-05T09:34:00Z,2018-06-05T08:00:00Z,IFR,A333,H,09L,340,ARR,218991262,2018-06-05T08:59:15Z,51.48027777777779,-1.5333333333333299,148,2018-06-05T08:47:21Z,51.5430555555555,-3.13472222222222,225
KLM1007,PHBXI,EHAM,EGLL,2018-06-05T08:17:00Z,2018-06-05T08:28:00Z,2018-06-05T08:00:00Z,IFR,B738,MJ,09L,409,ARR,218997104,2018-06-05T07:53:33Z,51.67944444444439,0.5630555555555551,140,2018-06-05T07:42:46Z,51.7827777777778,2.18166666666667,240
BAW795,GEUYD,EFHK,EGLL,2018-06-05T08:06:00Z,2018-06-05T08:12:00Z,2018-06-05T08:05:00Z,IFR,A320,MJ,09L,309,ARR,218993741,2018-06-05T07:38:57Z,51.63666666666669,0.583055555555555,146,2018-06-05T07:28:44Z,51.78444444444439,2.18,287
AAL46,N808AN,KORD,EGLL,2018-06-05T08:02:00Z,2018-06-05T08:11:00Z,2018-06-05T08:05:00Z,IFR,B788,H,09L,327,ARR,218990685,2018-06-05T07:36:45Z,51.3980555555556,-1.5225,146,2018-06-05T07:25:28Z,51.5888888888889,-3.127777777777781,266
EIN154,EIEDS,EIDW,EGLL,2018-06-05T08:07:00Z,2018-06-05T08:13:00Z,2018-06-05T08:05:00Z,IFR,A320,MJ,09L,221L,ARR,218996978,2018-06-05T07:43:05Z,51.9622222222222,-1.2,146,2018-06-05T07:32:43Z,52.7758333333333,-2.1594444444444396,330
EIN380,EIDVE,EINN,EGLL,2018-06-05T07:39:00Z,2018-06-05T07:47:00Z,2018-06-05T08:05:00Z,IFR,A320,MJ,09L,221R,ARR,218996968,2018-06-05T07:17:32Z,51.425555555555505,-1.52555555555556,141,2018-06-05T07:06:49Z,51.5902777777778,-3.127777777777781,316
BAW172,GCIVR,KJFK,EGLL,2018-06-05T07:43:00Z,2018-06-05T07:50:00Z,2018-06-05T08:05:00Z,IFR,B744,H,09L,564,ARR,218990958,2018-06-05T07:23:48Z,51.383611111111094,-1.51833333333333,142,2018-06-05T07:13:23Z,51.5902777777778,-3.1275000000000004,301
BAW76,GZBKA,FNLU,EGLL,2018-06-05T07:40:00Z,2018-06-05T07:46:00Z,2018-06-05T08:10:00Z,IFR,B789,H,09L,548,ARR,218990457,2018-06-05T07:18:33Z,51.0247222222222,0.317222222222222,143,2018-06-05T07:08:51Z,50.38305555555559,1.52833333333333,309
FIN3ML,OHLWA,EFHK,EGLL,2018-06-05T08:04:00Z,2018-06-05T08:13:00Z,2018-06-05T08:10:00Z,IFR,A359,H,09L,301,ARR,218993967,2018-06-05T07:37:57Z,51.6991666666667,0.553333333333333,143,2018-06-05T07:27:34Z,51.7833333333333,2.1805555555555602,293
BAW16H,GTTOB,LHBP,EGLL,2018-06-05T07:53:00Z,2018-06-05T07:56:00Z,2018-06-05T08:10:00Z,IFR,A320,MJ,09L,351,ARR,218994913,2018-06-05T07:32:57Z,51.5677777777778,0.602777777777778,132,2018-06-05T07:23:25Z,51.6977777777778,2.19888888888889,290
BAW831U,GEUPS,EIDW,EGLL,2018-06-05T08:08:00Z,2018-06-05T08:27:00Z,2018-06-05T08:10:00Z,IFR,A319,MJ,09L,523,ARR,218996865,2018-06-05T07:43:20Z,51.89,-1.30527777777778,152,2018-06-05T07:31:32Z,52.72111111111111,-2.2591666666666703,190
BAW599,GEUPX,LIPZ,EGLL,2018-06-05T07:50:00Z,2018-06-05T07:57:00Z,2018-06-05T08:10:00Z,IFR,A319,MJ,09L,511,ARR,218995545,2018-06-05T07:26:45Z,51.0908333333333,0.40472222222222204,149,2018-06-05T07:17:24Z,50.38416666666669,1.53222222222222,313
BAW761,GEUUY,ENGM,EGLL,2018-06-05T07:55:00Z,2018-06-05T08:03:00Z,2018-06-05T08:15:00Z,IFR,A320,MJ,09L,515,ARR,218995572,2018-06-05T07:33:27Z,51.69611111111111,0.5541666666666669,140,2018-06-05T07:23:26Z,51.9513888888889,2.11555555555556,296
BAW583,GEUYF,LIMC,EGLL,2018-06-05T07:54:00Z,2018-06-05T08:03:00Z,2018-06-05T08:15:00Z,IFR,A320,MJ,09L,522,ARR,218996293,2018-06-05T07:33:15Z,51.0902777777778,0.405,139,2018-06-05T07:24:17Z,50.38416666666669,1.53277777777778,311
BAW51B,GYMMP,KBOS,EGLL,2018-06-05T08:11:00Z,2018-06-05T08:20:00Z,2018-06-05T08:15:00Z,IFR,B772,H,09L,534,ARR,218991187,2018-06-05T07:45:38Z,51.3922222222222,-1.5197222222222198,144,2018-06-05T07:34:23Z,51.5883333333333,-3.127777777777781,266
VIR10K,GVRED,KJFK,EGLL,2018-06-05T08:09:00Z,2018-06-05T08:15:00Z,2018-06-05T08:15:00Z,IFR,A346,H,09L,321,ARR,218990966,2018-06-05T07:39:27Z,51.366388888888906,-1.51416666666667,140,2018-06-05T07:27:59Z,51.5886111111111,-3.12694444444444,266
BAW94,GZBJH,CYUL,EGLL,2018-06-05T08:01:00Z,2018-06-05T08:11:00Z,2018-06-05T08:15:00Z,IFR,B788,H,09L,539,ARR,218991157,2018-06-05T07:32:14Z,51.38416666666669,-1.5194444444444397,140,2018-06-05T07:21:18Z,51.59,-3.12694444444444,282
BAW699W,GEUYS,LOWW,EGLL,2018-06-05T07:56:00Z,2018-06-05T08:04:00Z,2018-06-05T08:20:00Z,IFR,A320,MJ,09L,311,ARR,218995715,2018-06-05T07:34:39Z,51.6230555555556,0.585833333333333,144,2018-06-05T07:24:56Z,51.84083333333329,2.15833333333333,310
SAS803,LNRNO,ENGM,EGLL,2018-06-05T08:13:00Z,2018-06-05T08:18:00Z,2018-06-05T08:20:00Z,IFR,B737,MJ,09L,225,ARR,218995773,2018-06-05T07:49:51Z,51.679166666666696,0.562222222222222,127,2018-06-05T07:40:04Z,51.9563888888889,2.1119444444444397,297
UAL16,N76064,KEWR,EGLL,2018-06-05T07:59:00Z,2018-06-05T08:04:00Z,2018-06-05T08:20:00Z,IFR,B764,H,09L,233,ARR,218990964,2018-06-05T07:30:09Z,51.3905555555556,-1.5197222222222198,142,2018-06-05T07:19:08Z,51.5908333333333,-3.12638888888889,290
LOT281,SPLVA,EPWA,EGLL,2018-06-05T08:14:00Z,2018-06-05T08:21:00Z,2018-06-05T08:25:00Z,IFR,B38M,MJ,09L,219,ARR,218995158,2018-06-05T07:50:30Z,51.6236111111111,0.587777777777778,170,2018-06-05T07:40:59Z,51.7827777777778,2.1802777777777806,314
AAL38,N725AN,KMIA,EGLL,2018-06-05T09:23:00Z,2018-06-05T09:37:00Z,2018-06-05T08:25:00Z,IFR,B77W,H,09L,301,ARR,218990558,2018-06-05T09:00:57Z,50.9308333333333,-1.0663888888888902,160,2018-06-05T08:48:09Z,50.6977777777778,-2.7891666666666706,288
AFL2580,VPBDC,UUEE,EGLL,2018-06-05T08:19:00Z,2018-06-05T08:32:00Z,2018-06-05T08:30:00Z,IFR,A321,MJ,09L,415,ARR,218992879,2018-06-05T07:58:33Z,51.68,0.561388888888889,129,2018-06-05T07:48:36Z,51.78416666666669,2.1794444444444396,299
BAW377,GEUYE,LFBO,EGLL,2018-06-05T08:15:00Z,2018-06-05T08:21:00Z,2018-06-05T08:30:00Z,IFR,A320,MJ,09L,508,ARR,218996979,2018-06-05T07:51:15Z,50.91416666666669,-1.03111111111111,130,2018-06-05T07:41:04Z,50.0005555555556,-1.6811111111111101,319
SHT7J,GEUUM,EGPF,EGLL,2018-06-05T08:32:00Z,2018-06-05T08:39:00Z,2018-06-05T08:30:00Z,IFR,A320,MJ,09L,502,ARR,218997902,2018-06-05T08:07:59Z,51.94416666666669,-1.2294444444444397,122,2018-06-05T07:56:48Z,52.83944444444439,-2.0188888888888896,315
BAW188,GVIIJ,KEWR,EGLL,2018-06-05T08:26:00Z,2018-06-05T08:34:00Z,2018-06-05T08:30:00Z,IFR,B772,H,09L,567,ARR,218991134,2018-06-05T08:02:15Z,51.3461111111111,-1.5074999999999998,140,2018-06-05T07:51:15Z,51.51416666666669,-3.1291666666666704,298
BAW14K,GVIIL,KJFK,EGLL,2018-06-05T08:23:00Z,2018-06-05T08:31:00Z,2018-06-05T08:35:00Z,IFR,B772,H,09L,558,ARR,218991123,2018-06-05T07:59:32Z,51.329166666666694,-1.50277777777778,140,2018-06-05T07:47:46Z,51.51416666666669,-3.13,252
SHT9V,GEUPF,EGPH,EGLL,2018-06-05T08:28:00Z,2018-06-05T08:34:00Z,2018-06-05T08:35:00Z,IFR,A319,MJ,09L,503,ARR,218998082,2018-06-05T08:03:54Z,51.9758333333333,-1.17694444444444,148,2018-06-05T07:53:11Z,52.830277777777795,-2.0433333333333303,318
BAW22C,GZBJG,KBWI,EGLL,2018-06-05T08:21:00Z,2018-06-05T08:29:00Z,2018-06-05T08:35:00Z,IFR,B788,H,09L,531,ARR,218991070,2018-06-05T07:57:21Z,51.4088888888889,-1.5233333333333299,140,2018-06-05T07:46:07Z,51.58916666666669,-3.12638888888889,263
ACA860,CFSJJ,CYHZ,EGLL,2018-06-05T08:52:00Z,2018-06-05T09:00:00Z,2018-06-05T08:35:00Z,IFR,B38M,MJ,09L,253L,ARR,218991613,2018-06-05T08:27:50Z,51.3661111111111,-1.5144444444444398,141,2018-06-05T08:16:21Z,51.5413888888889,-3.1311111111111103,253
SAS52H,EISID,ESSA,EGLL,2018-06-05T08:48:00Z,2018-06-05T08:55:00Z,2018-06-05T08:35:00Z,IFR,A320,MJ,09L,226,ARR,218996436,2018-06-05T08:28:53Z,51.67944444444439,0.5625,140,2018-06-05T08:18:50Z,51.8383333333333,2.16222222222222,288
UAL27,N27901,KDEN,EGLL,2018-06-05T08:40:00Z,2018-06-05T08:43:00Z,2018-06-05T08:40:00Z,IFR,B788,H,09L,231,ARR,218990575,2018-06-05T08:14:24Z,51.366388888888906,-1.5119444444444397,141,2018-06-05T08:03:21Z,51.531388888888905,-3.1286111111111103,275
DLH902,DAINA,EDDF,EGLL,2018-06-05T08:29:00Z,2018-06-05T08:36:00Z,2018-06-05T08:40:00Z,IFR,A320,MJ,09L,224,ARR,218997845,2018-06-05T08:08:27Z,51.6797222222222,0.5625,123,2018-06-05T07:57:15Z,51.60194444444439,2.2177777777777807,290
VIR12E,GVNAP,KBOS,EGLL,2018-06-05T09:10:00Z,2018-06-05T09:16:00Z,2018-06-05T08:40:00Z,IFR,A346,H,09L,322,ARR,218991310,2018-06-05T08:50:14Z,51.646944444444394,-1.4991666666666699,140,2018-06-05T08:38:58Z,51.62166666666669,-3.1325,289
DLH9MJ,DAIUR,EDDM,EGLL,2018-06-05T08:31:00Z,2018-06-05T08:39:00Z,2018-06-05T08:45:00Z,IFR,A320,MJ,09L,216,ARR,218997222,2018-06-05T08:09:27Z,51.67638888888891,0.5636111111111111,138,2018-06-05T07:58:39Z,51.6127777777778,2.21555555555556,298
AMC100A,9HAEK,LMML,EGLL,2018-06-05T08:36:00Z,2018-06-05T08:45:00Z,2018-06-05T08:45:00Z,IFR,A320,MJ,09L,421,ARR,218994884,2018-06-05T08:13:38Z,51.09166666666669,0.40416666666666706,161,2018-06-05T08:04:14Z,50.352777777777796,1.4844444444444398,328
SHT3P,GEUYI,EGCC,EGLL,2018-06-05T08:38:00Z,2018-06-05T08:43:00Z,2018-06-05T08:50:00Z,IFR,A320,MJ,09L,506,ARR,218999158,2018-06-05T08:16:18Z,52.0183333333333,-1.0880555555555602,158,2018-06-05T08:06:36Z,52.8327777777778,-2.0375,177
IBE3162,ECJZM,LEMD,EGLL,2018-06-05T08:33:00Z,2018-06-05T08:41:00Z,2018-06-05T08:50:00Z,IFR,A321,MJ,09L,521,ARR,218996775,2018-06-05T08:10:52Z,50.929166666666696,-1.0663888888888902,151,2018-06-05T08:02:01Z,50.0005555555556,-1.68083333333333,322
BAW43LQ,GEUXH,LIPE,EGLL,2018-06-05T08:37:00Z,2018-06-05T08:48:00Z,2018-06-05T08:50:00Z,IFR,A321,MJ,09L,518,ARR,218996859,2018-06-05T08:15:27Z,51.0902777777778,0.40444444444444405,160,2018-06-05T08:06:14Z,50.383611111111094,1.53138888888889,317
BAW551,GEUUP,LIRF,EGLL,2018-06-05T08:20:00Z,2018-06-05T08:31:00Z,2018-06-05T08:50:00Z,IFR,A320,MJ,09L,519,ARR,218996009,2018-06-05T08:02:15Z,51.117222222222196,0.433611111111111,149,2018-06-05T07:52:29Z,50.3480555555555,1.4819444444444396,308
THY1979,TCJJJ,LTBA,EGLL,2018-06-05T09:33:00Z,2018-06-05T09:40:00Z,2018-06-05T08:50:00Z,IFR,B77W,H,09L,248,ARR,218995034,2018-06-05T09:13:51Z,51.68,0.5636111111111111,140,2018-06-05T09:04:26Z,51.7822222222222,2.1811111111111106,310
DAL50,N171DN,KSLC,EGLL,2018-06-05T08:51:00Z,2018-06-05T08:55:00Z,2018-06-05T09:00:00Z,IFR,B763,H,09L,328,ARR,218990420,2018-06-05T08:29:18Z,51.9783333333333,-1.17361111111111,147,2018-06-05T08:18:25Z,52.78444444444439,-2.14305555555556,316
EIN15E,EICVB,EIDW,EGLL,2018-06-05T08:43:00Z,2018-06-05T08:50:00Z,2018-06-05T09:00:00Z,IFR,A320,MJ,09L,221R,ARR,218998832,2018-06-05T08:26:45Z,51.867777777777796,-1.33277777777778,145,2018-06-05T08:15:33Z,52.7577777777778,-2.19,321
ACA850,CFVLX,CYYC,EGLL,2018-06-05T08:49:00Z,2018-06-05T08:55:00Z,2018-06-05T09:00:00Z,IFR,B789,H,09L,241,ARR,218990752,2018-06-05T08:25:45Z,51.3675,-1.5133333333333299,140,2018-06-05T08:14:22Z,51.5311111111111,-3.13,247
BAW631,GEUUA,LGAV,EGLL,2018-06-05T08:45:00Z,2018-06-05T09:03:00Z,2018-06-05T09:00:00Z,IFR,A320,MJ,09L,511,ARR,218993991,2018-06-05T08:26:55Z,51.091111111111104,0.40388888888888913,148,2018-06-05T08:17:24Z,50.384722222222194,1.5316666666666698,277
BAW98,GZBKF,CYYZ,EGLL,2018-06-05T08:58:00Z,2018-06-05T09:05:00Z,2018-06-05T09:00:00Z,IFR,B789,H,09L,551,ARR,218991263,2018-06-05T08:31:33Z,51.3661111111111,-1.51277777777778,140,2018-06-05T08:19:57Z,51.5883333333333,-3.12666666666667,252
BAW391,GEUOF,EBBR,EGLL,2018-06-05T08:42:00Z,2018-06-05T08:47:00Z,2018-06-05T09:05:00Z,IFR,A319,MJ,09L,513,ARR,218999279,2018-06-05T08:19:21Z,51.6805555555556,0.5630555555555551,108,2018-06-05T08:09:02Z,51.6136111111111,2.21722222222222,240
BAW499,GEUUS,LPPT,EGLL,2018-06-05T08:54:00Z,2018-06-05T09:09:00Z,2018-06-05T09:05:00Z,IFR,A320,MJ,09L,309,ARR,218996643,2018-06-05T08:32:24Z,50.930277777777796,-1.0675,148,2018-06-05T08:22:32Z,50.002500000000005,-1.68527777777778,304
VIR8E,GVOOH,KLAX,EGLL,2018-06-05T08:34:00Z,2018-06-05T08:43:00Z,2018-06-05T09:05:00Z,IFR,B789,H,09L,307,ARR,218990173,2018-06-05T08:14:39Z,52.0105555555555,-1.1088888888888901,156,2018-06-05T08:04:08Z,52.815277777777794,-2.0788888888888897,328
UAL940,N76065,KEWR,EGLL,2018-06-05T09:26:00Z,2018-06-05T09:32:00Z,2018-06-05T09:10:00Z,IFR,B764,H,09L,247,ARR,218991322,2018-06-05T08:54:45Z,50.9097222222222,-1.0172222222222198,144,2018-06-05T08:40:24Z,50.75694444444439,-2.83527777777778,312
BAW885,GEUYT,LROP,EGLL,2018-06-05T08:47:00Z,2018-06-05T08:55:00Z,2018-06-05T09:10:00Z,IFR,A320,MJ,09L,517,ARR,218995037,2018-06-05T08:26:59Z,51.6805555555556,0.563333333333333,126,2018-06-05T08:16:15Z,51.732777777777805,2.19638888888889,283
BAW190,GCIVC,KAUS,EGLL,2018-06-05T09:02:00Z,2018-06-05T09:14:00Z,2018-06-05T09:10:00Z,IFR,B744,H,09L,546,ARR,218990585,2018-06-05T08:42:33Z,51.3655555555556,-1.5125,140,2018-06-05T08:31:27Z,51.556666666666686,-3.12944444444444,270
BAW282,GXLEC,KLAX,EGLL,2018-06-05T08:56:00Z,2018-06-05T09:06:00Z,2018-06-05T09:10:00Z,IFR,A388,H,09L,565,ARR,218990156,2018-06-05T08:33:08Z,51.89,-1.30527777777778,149,2018-06-05T08:22:16Z,52.741388888888906,-2.2230555555555602,332
BAW68V,GZBKK,KPHL,EGLL,2018-06-05T10:26:00Z,2018-06-05T10:36:00Z,2018-06-05T09:15:00Z,IFR,B789,H,09L,542,ARR,218991294,2018-06-05T10:01:08Z,51.970277777777795,-1.18722222222222,156,2018-06-05T09:50:23Z,52.81416666666669,-2.0777777777777806,306
VIR154,GVSPY,KJFK,EGLL,2018-06-05T09:07:00Z,2018-06-05T09:14:00Z,2018-06-05T09:15:00Z,IFR,B789,H,09L,319,ARR,218991330,2018-06-05T08:48:39Z,51.366388888888906,-1.51388888888889,140,2018-06-05T08:37:46Z,51.540277777777796,-3.12944444444444,325
AIC172,VTANL,KEWR,EGLL,2018-06-05T09:08:00Z,2018-06-05T09:17:00Z,2018-06-05T09:15:00Z,IFR,B788,H,09L,218,ARR,218991528,2018-06-05T08:51:03Z,50.8977777777778,-0.9822222222222219,137,2018-06-05T08:37:28Z,50.7555555555556,-2.8355555555555596,299
BEL2AH,OOSNM,EBBR,EGLL,2018-06-05T09:06:00Z,2018-06-05T09:16:00Z,2018-06-05T09:15:00Z,IFR,A320,MJ,09L,220,ARR,218999895,2018-06-05T08:47:58Z,51.68,0.563333333333333,137,2018-06-05T08:37:53Z,51.5805555555555,2.2211111111111106,240
EIN03RV,EIDEG,EGAC,EGLL,2018-06-05T08:55:00Z,2018-06-05T09:08:00Z,2018-06-05T09:15:00Z,IFR,A320,MJ,09L,221L,ARR,218999375,2018-06-05T08:32:51Z,51.9927777777778,-1.1463888888888902,130,2018-06-05T08:22:18Z,52.8211111111111,-2.06638888888889,310
SAS1507,OYKAN,EKCH,EGLL,2018-06-05T18:24:00Z,2018-06-05T18:31:00Z,2018-06-05T18:30:00Z,IFR,A320,MJ,09L,236R,ARR,219015771,2018-06-05T18:06:16Z,51.68,0.562777777777778,123,2018-06-05T17:56:16Z,51.7836111111111,2.1805555555555602,297
