FLTID,REG,ADEP,ADES,ALDT,AIBT,SIBT,FLTRUL,TYPE,WTC,RWY,STND,SRC_PHASE,SAM_ID,C40_CROSS_TIME,C40_CROSS_LAT,C40_CROSS_LON,C40_CROSS_FL,C100_CROSS_TIME,C100_CROSS_LAT,C100_CROSS_LON,C100_CROSS_FL
AFR75RA,FHEPB,LFPG,EGLL,2018-06-10T12:32:00Z,2018-06-10T12:41:00Z,2018-06-10T12:45:00Z,IFR,A320,MJ,09L,415,ARR,219170394,2018-06-10T12:12:39Z,51.0897222222222,0.40222222222222204,157,2018-06-10T12:03:42Z,50.310555555555595,1.42277777777778,240
KLM89A,PHEZN,EHAM,EGLL,2018-06-10T12:28:00Z,2018-06-10T12:36:00Z,2018-06-10T12:50:00Z,IFR,E190,MJ,09L,412,ARR,219170293,2018-06-10T12:08:38Z,51.69250000000001,0.5580555555555561,134,2018-06-10T11:58:14Z,51.800277777777794,2.1788888888888898,240
BAW951L,GEUYH,EDDM,EGLL,2018-06-10T13:38:00Z,2018-06-10T13:57:00Z,2018-06-10T12:50:00Z,IFR,A320,MJ,09L,524,ARR,219169190,2018-06-10T13:19:38Z,51.680277777777796,0.5625,120,2018-06-10T13:09:10Z,51.6130555555555,2.2158333333333298,301
EWG9TV,DAGWL,EDDT,EGLL,2018-06-10T13:12:00Z,2018-06-10T13:18:00Z,2018-06-10T12:50:00Z,IFR,A319,MJ,09L,226,ARR,219170491,2018-06-10T12:52:20Z,51.68,0.5644444444444441,119,2018-06-10T12:42:32Z,51.79250000000001,2.17972222222222,302
BAW493,GEUUP,LXGB,EGLL,2018-06-10T12:17:00Z,2018-06-10T12:38:00Z,2018-06-10T12:50:00Z,IFR,A320,MJ,09L,326,ARR,219167596,2018-06-10T12:00:16Z,50.9305555555556,-1.06666666666667,143,2018-06-10T11:52:05Z,50.0022222222222,-1.6825,320
VIR42X,GVNAP,KSFO,EGLL,2018-06-10T13:13:00Z,2018-06-10T13:21:00Z,2018-06-10T12:55:00Z,IFR,A346,H,09L,319,ARR,219157205,2018-06-10T12:56:00Z,51.95944444444439,-1.2033333333333298,151,2018-06-10T12:47:05Z,52.7875,-2.1325,312
BAW501,GTTNB,LPPT,EGLL,2018-06-10T12:53:00Z,2018-06-10T13:08:00Z,2018-06-10T12:55:00Z,IFR,A320,MJ,09L,329,ARR,219167986,2018-06-10T12:35:26Z,50.9055555555556,-1.00305555555556,143,2018-06-10T12:26:04Z,49.976388888888906,-1.5997222222222198,310
BAW729,GEUPR,LSGG,EGLL,2018-06-10T12:45:00Z,2018-06-10T12:50:00Z,2018-06-10T12:55:00Z,IFR,A319,MJ,09L,534,ARR,219170009,2018-06-10T12:28:50Z,51.128611111111105,0.444722222222222,150,2018-06-10T12:19:12Z,50.3488888888889,1.4822222222222199,324
EIN384,EIDES,EINN,EGLL,2018-06-10T12:22:00Z,2018-06-10T12:27:00Z,2018-06-10T13:00:00Z,IFR,A320,MJ,09L,223,ARR,219170458,2018-06-10T12:05:44Z,51.3630555555555,-1.5116666666666698,140,2018-06-10T11:57:13Z,51.5908333333333,-3.12583333333333,326
BAW6B,GXLEB,KSFO,EGLL,2018-06-10T12:42:00Z,2018-06-10T12:53:00Z,2018-06-10T13:00:00Z,IFR,A388,H,09L,557,ARR,219157189,2018-06-10T12:28:08Z,51.986388888888904,-1.15722222222222,155,2018-06-10T12:19:40Z,52.76500000000001,-2.18194444444444,314
EWG464,DAGWD,EDDK,EGLL,2018-06-10T12:39:00Z,2018-06-10T12:46:00Z,2018-06-10T13:05:00Z,IFR,A319,MJ,09L,225,ARR,219170499,2018-06-10T12:23:08Z,51.67944444444439,0.562777777777778,136,2018-06-10T12:12:28Z,51.6033333333333,2.215,304
BEE42Z,GECOE,EGPD,EGLL,2018-06-10T13:24:00Z,2018-06-10T13:43:00Z,2018-06-10T13:05:00Z,IFR,DH8D,MT,09L,253R,ARR,219171155,2018-06-10T13:04:50Z,52.0455555555556,-1.02277777777778,149,2018-06-10T12:54:08Z,52.844722222222195,-2.01055555555556,250
BAW3ZL,GEUPM,LSZH,EGLL,2018-06-10T13:00:00Z,2018-06-10T13:08:00Z,2018-06-10T13:05:00Z,IFR,A319,MJ,09L,522,ARR,219170002,2018-06-10T12:40:14Z,51.1302777777778,0.44694444444444403,173,2018-06-10T12:31:21Z,50.4375,1.60388888888889,325
BAW85GA,GEUUB,LDZA,EGLL,2018-06-10T13:22:00Z,2018-06-10T13:30:00Z,2018-06-10T13:05:00Z,IFR,A320,MJ,09L,519,ARR,219168613,2018-06-10T13:03:26Z,51.68,0.562222222222222,138,2018-06-10T12:54:29Z,51.5969444444444,2.2177777777777807,334
ROT391,YRASD,LROP,EGLL,2018-06-10T12:50:00Z,2018-06-10T13:01:00Z,2018-06-10T13:05:00Z,IFR,A318,MJ,09L,401,ARR,219166907,2018-06-10T12:30:22Z,51.6811111111111,0.562222222222222,136,2018-06-10T12:19:31Z,51.7872222222222,2.1791666666666702,308
BAW605,GMEDN,LIRP,EGLL,2018-06-10T12:52:00Z,2018-06-10T12:59:00Z,2018-06-10T13:10:00Z,IFR,A321,MJ,09L,513,ARR,219169065,2018-06-10T12:35:29Z,51.0902777777778,0.405555555555556,156,2018-06-10T12:26:28Z,50.3022222222222,1.41055555555556,331
UAL930,N226UA,KSFO,EGLL,2018-06-10T13:19:00Z,2018-06-10T13:24:00Z,2018-06-10T13:10:00Z,IFR,B772,H,09L,247,ARR,219157195,2018-06-10T13:01:09Z,52.032500000000006,-1.05833333333333,158,2018-06-10T12:52:55Z,52.82416666666669,-2.05972222222222,335
EWG4C,DAEWP,EDDH,EGLL,2018-06-10T15:29:00Z,2018-06-10T15:36:00Z,2018-06-10T13:10:00Z,IFR,A320,MJ,09L,223,ARR,219173042,2018-06-10T15:01:52Z,51.6797222222222,0.5636111111111111,146,2018-06-10T14:50:23Z,51.7630555555555,2.18583333333333,297
BCS6757,DAEAR,LIMC,EGLL,2018-06-10T13:42:00Z,2018-06-10T13:53:00Z,2018-06-10T13:10:00Z,IFR,A306,H,09L,615,ARR,219169629,2018-06-10T13:23:33Z,51.093333333333305,0.408055555555556,146,2018-06-10T13:15:13Z,50.359722222222196,1.4969444444444397,320
BAW108,GVIIN,OMDB,EGLL,2018-06-10T13:31:00Z,2018-06-10T13:43:00Z,2018-06-10T13:15:00Z,IFR,B772,H,09L,548,ARR,219160890,2018-06-10T13:15:39Z,51.68,0.562222222222222,124,2018-06-10T13:06:03Z,51.70250000000001,2.20166666666667,306
BAW84,GXLEK,CYVR,EGLL,2018-06-10T13:10:00Z,2018-06-10T13:20:00Z,2018-06-10T13:15:00Z,IFR,A388,H,09L,303,ARR,219157861,2018-06-10T12:51:32Z,51.9413888888889,-1.2322222222222199,147,2018-06-10T12:42:01Z,52.7552777777778,-2.19666666666667,316
SHT19P,GEUPA,EGPD,EGLL,2018-06-10T12:47:00Z,2018-06-10T12:56:00Z,2018-06-10T13:15:00Z,IFR,A319,MJ,09L,507,ARR,219170774,2018-06-10T12:29:50Z,51.9838888888889,-1.1619444444444398,150,2018-06-10T12:20:45Z,52.814722222222194,-2.0794444444444395,336
