FLTID,REG,ADEP,ADES,ATOT,AOBT,SOBT,FLTRUL,TYPE,WTC,RWY,STND,SRC_PHASE,SAM_ID,C40_CROSS_TIME,C40_CROSS_LAT,C40_CROSS_LON,C40_CROSS_FL,C100_CROSS_TIME,C100_CROSS_LAT,C100_CROSS_LON,C100_CROSS_FL
BAW662,GBNWB,EGLL,LCLK,2018-06-10T11:17:00Z,2018-06-10T10:53:00Z,2018-06-10T10:50:00Z,IFR,B763,H,09R,505,DEP,219169401,2018-06-10T11:26:21Z,50.846666666666685,-0.121388888888889,168,2018-06-10T11:34:26Z,49.97194444444439,0.6569444444444441,327
VIR137Y,GVRAY,EGLL,KJFK,2018-06-10T11:01:00Z,2018-06-10T10:38:00Z,2018-06-10T10:50:00Z,IFR,A333,H,09R,303,DEP,219169370,2018-06-10T11:11:24Z,51.5908333333333,-1.515,162,2018-06-10T11:20:05Z,51.8397222222222,-3.07861111111111,262
SAS1520,SEROA,EGLL,ESSA,2018-06-10T11:08:00Z,2018-06-10T10:47:00Z,2018-06-10T10:50:00Z,IFR,A320,MJ,09R,224,DEP,219169341,2018-06-10T11:17:31Z,51.8455555555555,0.4352777777777781,223,2018-06-10T11:25:56Z,52.1786111111111,1.9874999999999998,348
BAW650,GEUYF,EGLL,LGMK,2018-06-10T11:12:00Z,2018-06-10T10:54:00Z,2018-06-10T10:55:00Z,IFR,A320,MJ,09R,511,DEP,219169513,2018-06-10T11:20:18Z,51.3633333333333,0.5905555555555559,135,2018-06-10T11:28:51Z,51.121944444444395,2.14055555555556,269
BAW125,GZZZA,EGLL,OBBI,2018-06-10T12:05:00Z,2018-06-10T11:06:00Z,2018-06-10T10:55:00Z,IFR,B772,H,09R,564,DEP,219169447,2018-06-10T12:13:59Z,51.36666666666669,0.5922222222222219,175,2018-06-10T12:22:03Z,51.1711111111111,2.1577777777777807,299
BAW880A,GEUUM,EGLL,LGSR,2018-06-10T11:25:00Z,2018-06-10T11:00:00Z,2018-06-10T10:55:00Z,IFR,A320,MJ,09R,572,DEP,219169538,2018-06-10T11:33:16Z,51.3897222222222,0.597777777777778,169,2018-06-10T11:41:41Z,51.10944444444439,2.13972222222222,285
BAW91C,GCIVC,EGLL,KAUS,2018-06-10T11:26:00Z,2018-06-10T11:10:00Z,2018-06-10T11:00:00Z,IFR,B744,H,09R,553,DEP,219169603,2018-06-10T11:35:46Z,51.5622222222222,-1.5219444444444397,166,2018-06-10T11:43:52Z,51.9475,-3.03527777777778,280
SHT6T,GEUOH,EGLL,EGPF,2018-06-10T11:37:00Z,2018-06-10T11:19:00Z,2018-06-10T11:00:00Z,IFR,A319,MJ,09R,507,DEP,219170319,2018-06-10T11:46:08Z,52.1430555555555,-0.49555555555555597,191,2018-06-10T11:55:05Z,53.055277777777796,-1.33388888888889,320
BAW62MM,GEUOI,EGLL,LIML,2018-06-10T11:27:00Z,2018-06-10T11:11:00Z,2018-06-10T11:00:00Z,IFR,A319,MJ,09R,501,DEP,219169624,2018-06-10T11:37:06Z,50.8202777777778,-0.283611111111111,176,2018-06-10T11:45:57Z,49.96166666666669,0.6216666666666669,328
UAL17,N77066,EGLL,KEWR,2018-06-10T11:21:00Z,2018-06-10T10:55:00Z,2018-06-10T11:00:00Z,IFR,B764,H,09R,231,DEP,219169620,2018-06-10T11:30:20Z,51.592222222222205,-1.51527777777778,195,2018-06-10T11:38:12Z,51.88722222222219,-3.06083333333333,320
