FLTID,REG,ADEP,ADES,ATOT,AOBT,SOBT,FLTRUL,TYPE,WTC,RWY,STND,SRC_PHASE,SAM_ID,C40_CROSS_TIME,C40_CROSS_LAT,C40_CROSS_LON,C40_CROSS_FL,C100_CROSS_TIME,C100_CROSS_LAT,C100_CROSS_LON,C100_CROSS_FL
BAW440,GEUPL,EGLL,EHAM,2018-06-10T15:15:00Z,2018-06-10T14:58:00Z,2018-06-10T15:00:00Z,IFR,A319,MJ,09R,521,DEP,219177060,2018-06-10T15:24:04Z,51.8138888888889,0.465833333333333,165,2018-06-10T15:33:03Z,52.0852777777778,2.05,230
BAW147,GEUYR,EGLL,OJAI,2018-06-10T16:04:00Z,2018-06-10T15:16:00Z,2018-06-10T15:05:00Z,IFR,A320,MJ,09R,502,DEP,219177299,2018-06-10T16:14:02Z,51.31444444444438,0.5730555555555551,96,2018-06-10T16:23:12Z,51.1677777777778,2.15555555555556,252
VIR1F,GVWAG,EGLL,KEWR,2018-06-10T15:24:00Z,2018-06-10T14:56:00Z,2018-06-10T15:05:00Z,IFR,A333,H,09R,325,DEP,219177252,2018-06-10T15:33:50Z,51.56194444444439,-1.5225,141,2018-06-10T15:42:41Z,51.935,-3.04,264
BAW297,GXLEE,EGLL,KORD,2018-06-10T16:10:00Z,2018-06-10T15:43:00Z,2018-06-10T15:05:00Z,IFR,A388,H,09R,556,DEP,219178404,2018-06-10T16:20:56Z,51.5880555555555,-1.5163888888888901,149,2018-06-10T16:29:26Z,52.108333333333306,-2.94805555555556,264
BAW718,GEUPG,EGLL,LSZH,2018-06-10T16:01:00Z,2018-06-10T15:03:00Z,2018-06-10T15:05:00Z,IFR,A319,MJ,09R,562,DEP,219177298,2018-06-10T16:11:20Z,51.311944444444386,0.5725,88,2018-06-10T16:21:48Z,51.0330555555555,2.1033333333333304,284
BAW269,GXLEL,EGLL,KLAX,2018-06-10T15:41:00Z,2018-06-10T15:09:00Z,2018-06-10T15:10:00Z,IFR,A388,H,09R,565,DEP,219177467,2018-06-10T15:51:50Z,52.1436111111111,-0.483611111111111,140,2018-06-10T16:01:27Z,53.029444444444394,-1.4558333333333298,276
BCS6769,DAEAR,EGLL,EDDP,2018-06-10T15:45:00Z,2018-06-10T15:12:00Z,2018-06-10T15:10:00Z,IFR,A306,H,09R,615,DEP,219177426,2018-06-10T15:54:47Z,51.858055555555595,0.420555555555556,150,2018-06-10T16:02:56Z,52.245555555555505,1.93416666666667,299
FIN7AY,OHLVD,EGLL,EFHK,2018-06-10T15:36:00Z,2018-06-10T15:05:00Z,2018-06-10T15:10:00Z,IFR,A319,MJ,09R,332,DEP,219177348,2018-06-10T15:45:24Z,51.85027777777779,0.42972222222222206,164,2018-06-10T15:53:45Z,52.18944444444439,1.9791666666666698,305
BAW912N,GEUPD,EGLL,EDDF,2018-06-10T15:29:00Z,2018-06-10T15:05:00Z,2018-06-10T15:10:00Z,IFR,A319,MJ,09R,508,DEP,219177431,2018-06-10T15:37:44Z,51.311111111111096,0.5719444444444441,135,2018-06-10T15:46:20Z,51.112500000000004,2.13638888888889,296
SHT6F,GEUUK,EGLL,EGPF,2018-06-10T15:53:00Z,2018-06-10T15:16:00Z,2018-06-10T15:15:00Z,IFR,A320,MJ,09R,509,DEP,219178651,2018-06-10T16:03:20Z,52.12888888888891,-0.685833333333333,186,2018-06-10T16:11:51Z,53.0447222222222,-1.3819444444444398,300
ACA897,CFRSA,EGLL,CYVR,2018-06-10T15:43:00Z,2018-06-10T15:12:00Z,2018-06-10T15:15:00Z,IFR,B789,H,09R,243,DEP,219177625,2018-06-10T15:53:25Z,51.59444444444439,-1.5147222222222199,153,2018-06-10T16:02:06Z,52.1330555555556,-2.93055555555556,284
ANZ1,ZKOKP,EGLL,KLAX,2018-06-10T18:02:00Z,2018-06-10T17:42:00Z,2018-06-10T15:15:00Z,IFR,B77W,H,09R,244,DEP,219181806,2018-06-10T18:13:10Z,52.1436111111111,-0.49527777777777804,156,2018-06-10T18:21:32Z,53.0747222222222,-1.24111111111111,300
BAW33K,GVIIF,EGLL,KJFK,2018-06-10T15:44:00Z,2018-06-10T15:18:00Z,2018-06-10T15:15:00Z,IFR,B772,H,09R,555,DEP,219177552,2018-06-10T15:55:08Z,51.5686111111111,-1.52027777777778,157,2018-06-10T16:04:00Z,51.81416666666669,-3.0872222222222203,298
BAW348,GBNWZ,EGLL,LFMN,2018-06-10T16:20:00Z,2018-06-10T15:59:00Z,2018-06-10T15:15:00Z,IFR,B763,H,09R,552,DEP,219178741,2018-06-10T16:29:32Z,50.81166666666668,-0.49916666666666704,184,2018-06-10T16:38:35Z,49.9588888888889,0.608888888888889,356
BAW454,GEUYO,EGLL,LEMG,2018-06-10T15:58:00Z,2018-06-10T15:31:00Z,2018-06-10T15:20:00Z,IFR,A320,MJ,09R,506,DEP,219177933,2018-06-10T16:07:56Z,51.009166666666694,-1.21611111111111,194,2018-06-10T16:16:35Z,50.1161111111111,-1.97888888888889,307
BAW398R,GEUPH,EGLL,EBBR,2018-06-10T15:54:00Z,2018-06-10T15:24:00Z,2018-06-10T15:20:00Z,IFR,A319,MJ,09R,505,DEP,219177736,2018-06-10T16:03:43Z,51.3697222222222,0.5924999999999999,108,2018-06-10T16:12:37Z,51.182500000000005,2.16166666666667,170
SHT8U,GEUPB,EGLL,EGPH,2018-06-10T16:03:00Z,2018-06-10T15:37:00Z,2018-06-10T15:25:00Z,IFR,A319,MJ,09R,501,DEP,219177806,2018-06-10T16:12:53Z,52.13638888888891,-0.6272222222222219,216,2018-06-10T16:21:24Z,53.0455555555556,-1.38416666666667,340
DLH8HU,DAIBE,EGLL,EDDM,2018-06-10T16:40:00Z,2018-06-10T16:19:00Z,2018-06-10T15:25:00Z,IFR,A319,MJ,09R,216,DEP,219177840,2018-06-10T16:48:28Z,51.3083333333333,0.5708333333333331,150,2018-06-10T16:56:21Z,51.1108333333333,2.1352777777777803,268
BAW856,GTTOB,EGLL,LKPR,2018-06-10T16:15:00Z,2018-06-10T15:25:00Z,2018-06-10T15:25:00Z,IFR,A320,MJ,09R,309,DEP,219177887,2018-06-10T16:24:27Z,51.3252777777778,0.5780555555555551,120,2018-06-10T16:33:00Z,51.19500000000001,2.16388888888889,269
DLH3H,DAINC,EGLL,EDDF,2018-06-10T16:30:00Z,2018-06-10T16:03:00Z,2018-06-10T15:30:00Z,IFR,A320,MJ,09R,231,DEP,219178108,2018-06-10T16:38:17Z,51.3208333333333,0.575555555555555,170,2018-06-10T16:45:52Z,51.218333333333305,2.16944444444444,294
BAW39,GSTBK,EGLL,ZBAA,2018-06-10T15:55:00Z,2018-06-10T15:28:00Z,2018-06-10T15:30:00Z,IFR,B77W,H,09R,566,DEP,219178138,2018-06-10T16:03:30Z,51.8355555555556,0.44583333333333297,138,2018-06-10T16:11:31Z,52.075,2.05527777777778,290
THY8GM,TCLKA,EGLL,LTBA,2018-06-10T16:17:00Z,2018-06-10T15:43:00Z,2018-06-10T15:35:00Z,IFR,B77W,H,09R,233,DEP,219178256,2018-06-10T16:25:49Z,50.8322222222222,-0.19722222222222202,192,2018-06-10T16:33:49Z,49.9397222222222,0.543611111111111,290
TAP377G,CSTOM,EGLL,LPPT,2018-06-10T16:28:00Z,2018-06-10T16:08:00Z,2018-06-10T15:35:00Z,IFR,A332,H,09R,218,DEP,219178183,2018-06-10T16:39:08Z,51.01694444444439,-1.2297222222222197,170,2018-06-10T16:47:56Z,50.1588888888889,-2.07333333333333,342
AEE8SE,SXDVZ,EGLL,LGAV,2018-06-10T16:00:00Z,2018-06-10T15:35:00Z,2018-06-10T15:35:00Z,IFR,A321,MJ,09R,220,DEP,219178187,2018-06-10T16:09:42Z,51.3202777777778,0.5758333333333331,78,2018-06-10T16:19:39Z,51.2175,2.17055555555556,239
KAC102,9KAOH,EGLL,OKBK,2018-06-10T23:13:00Z,2018-06-10T22:51:00Z,2018-06-10T15:35:00Z,IFR,B77W,H,09R,407,DEP,219187597,2018-06-10T23:22:09Z,51.3463888888889,0.586388888888889,173,2018-06-10T23:29:51Z,51.1447222222222,2.1486111111111104,350
BAW464,GEUOA,EGLL,LEMD,2018-06-10T16:13:00Z,2018-06-10T15:44:00Z,2018-06-10T15:35:00Z,IFR,A319,MJ,09R,518,DEP,219178255,2018-06-10T16:23:24Z,51.0652777777778,-1.295,200,2018-06-10T16:32:18Z,50.13444444444439,-2.02222222222222,328
BAW486,GEUUI,EGLL,LEBL,2018-06-10T16:03:00Z,2018-06-10T15:40:00Z,2018-06-10T15:40:00Z,IFR,A320,MJ,09R,311,DEP,219178296,2018-06-10T16:13:32Z,50.8125,-0.3838888888888891,150,2018-06-10T16:22:36Z,49.85694444444439,0.14722222222222203,289
UAL925,N226UA,EGLL,KIAD,2018-06-10T16:08:00Z,2018-06-10T15:39:00Z,2018-06-10T15:40:00Z,IFR,B772,H,09R,247,DEP,219178403,2018-06-10T16:19:22Z,51.557777777777794,-1.52083333333333,134,2018-06-10T16:28:01Z,51.9025,-3.0519444444444397,259
BAW275,GCIVP,EGLL,KLAS,2018-06-10T16:06:00Z,2018-06-10T15:41:00Z,2018-06-10T15:40:00Z,IFR,B744,H,09R,342,DEP,219178429,2018-06-10T16:15:52Z,51.508888888888904,-1.5280555555555602,159,2018-06-10T16:24:15Z,52.0636111111111,-2.97055555555556,279
BAW608,GEUXC,EGLL,LIEO,2018-06-10T16:45:00Z,2018-06-10T16:07:00Z,2018-06-10T15:45:00Z,IFR,A321,MJ,09R,512,DEP,219179420,2018-06-10T16:54:30Z,50.8236111111111,-0.2538888888888891,190,2018-06-10T17:03:06Z,49.972500000000004,0.6608333333333329,322
BAW167,GZZZC,EGLL,LLBG,2018-06-10T16:59:00Z,2018-06-10T15:46:00Z,2018-06-10T15:45:00Z,IFR,B772,H,09R,535,DEP,219178511,2018-06-10T17:07:56Z,51.31166666666668,0.5719444444444441,174,2018-06-10T17:16:09Z,51.086388888888905,2.12583333333333,312
BAW189,GZBJA,EGLL,KEWR,2018-06-10T16:16:00Z,2018-06-10T15:50:00Z,2018-06-10T15:45:00Z,IFR,B788,H,09R,542,DEP,219178489,2018-06-10T16:26:26Z,51.595000000000006,-1.51277777777778,164,2018-06-10T16:34:59Z,51.851111111111095,-3.07333333333333,301
SHT86X,GEUPY,EGLL,EGAC,2018-06-10T16:07:00Z,2018-06-10T15:46:00Z,2018-06-10T15:45:00Z,IFR,A319,MJ,09R,503,DEP,219178557,2018-06-10T16:16:59Z,52.142500000000005,-0.523333333333333,182,2018-06-10T16:25:50Z,53.02166666666669,-1.4897222222222197,339
BAW12P,GEUUN,EGLL,EPKK,2018-06-10T16:31:00Z,2018-06-10T16:11:00Z,2018-06-10T15:50:00Z,IFR,A320,MJ,09R,520,DEP,219178661,2018-06-10T16:40:29Z,51.86444444444439,0.4127777777777781,161,2018-06-10T16:49:10Z,52.1452777777778,2.01138888888889,290
EIN169,EIDEP,EGLL,EIDW,2018-06-10T16:01:00Z,2018-06-10T15:44:00Z,2018-06-10T15:50:00Z,IFR,A320,MJ,09R,221R,DEP,219178632,2018-06-10T16:10:44Z,51.625277777777804,-1.50555555555556,165,2018-06-10T16:19:36Z,52.0888888888889,-2.96166666666667,300
UAE79Y,A6EEJ,EGLL,OMDB,2018-06-10T17:00:00Z,2018-06-10T16:32:00Z,2018-06-10T15:55:00Z,IFR,A388,H,09R,305,DEP,219178782,2018-06-10T17:10:32Z,51.8261111111111,0.45472222222222203,134,2018-06-10T17:18:40Z,52.2122222222222,1.96111111111111,289
BAW782F,GEUYH,EGLL,ESSA,2018-06-10T16:25:00Z,2018-06-10T15:55:00Z,2018-06-10T15:55:00Z,IFR,A320,MJ,09R,524,DEP,219178743,2018-06-10T16:34:37Z,51.881944444444386,0.39277777777777806,152,2018-06-10T16:43:09Z,52.2219444444444,1.95527777777778,291
AZA207,IBIKC,EGLL,LIRF,2018-06-10T16:24:00Z,2018-06-10T15:58:00Z,2018-06-10T15:55:00Z,IFR,A320,MJ,09R,420,DEP,219178749,2018-06-10T16:34:07Z,50.8286111111111,-0.22055555555555598,212,2018-06-10T16:43:21Z,49.95916666666669,0.615833333333333,327
BAW99,GZBKA,EGLL,CYYZ,2018-06-10T16:27:00Z,2018-06-10T16:02:00Z,2018-06-10T15:55:00Z,IFR,B789,H,09R,561,DEP,219178750,2018-06-10T16:37:29Z,51.580833333333295,-1.5174999999999998,155,2018-06-10T16:45:58Z,51.867222222222196,-3.06888888888889,299
BAW50G,GVIIN,EGLL,KBOS,2018-06-10T16:22:00Z,2018-06-10T15:56:00Z,2018-06-10T15:55:00Z,IFR,B772,H,09R,548,DEP,219178823,2018-06-10T16:32:49Z,51.59250000000001,-1.515,159,2018-06-10T16:41:35Z,51.868888888888904,-3.0686111111111103,280
MAU53,3BNBI,EGLL,FIMP,2018-06-10T16:32:00Z,2018-06-10T16:06:00Z,2018-06-10T16:00:00Z,IFR,A343,H,09R,406,DEP,219179085,2018-06-10T16:43:09Z,50.8113888888889,-0.42222222222222205,147,2018-06-10T16:53:11Z,49.955833333333295,0.6,274
AAL107,N724AN,EGLL,KJFK,2018-06-10T16:19:00Z,2018-06-10T15:57:00Z,2018-06-10T16:00:00Z,IFR,B77W,H,09R,336,DEP,219178917,2018-06-10T16:29:07Z,51.5797222222222,-1.5191666666666699,148,2018-06-10T16:37:35Z,51.8630555555555,-3.0719444444444397,260
IRA710,EPIJB,EGLL,OIIE,2018-06-10T16:21:00Z,2018-06-10T16:01:00Z,2018-06-10T16:00:00Z,IFR,A332,H,09R,328,DEP,219178852,2018-06-10T16:31:43Z,51.79277777777781,0.48388888888888915,141,2018-06-10T16:40:04Z,52.0538888888889,2.0647222222222203,272
SAS506,OYKAO,EGLL,EKCH,2018-06-10T16:14:00Z,2018-06-10T15:58:00Z,2018-06-10T16:00:00Z,IFR,A320,MJ,09R,224,DEP,219178842,2018-06-10T16:23:26Z,51.9211111111111,0.340277777777778,164,2018-06-10T16:32:10Z,52.218888888888905,1.95833333333333,312
RJA112,JYBAG,EGLL,OJAI,2018-06-10T16:37:00Z,2018-06-10T16:20:00Z,2018-06-10T16:05:00Z,IFR,B788,H,09R,329,DEP,219179223,2018-06-10T16:46:48Z,50.83,-0.21361111111111103,172,2018-06-10T16:55:21Z,49.9138888888889,0.440555555555556,309
CPA238,BKPO,EGLL,VHHH,2018-06-10T16:33:00Z,2018-06-10T16:11:00Z,2018-06-10T16:05:00Z,IFR,B77W,H,09R,331,DEP,219179233,2018-06-10T16:42:33Z,51.86694444444439,0.410555555555556,149,2018-06-10T16:50:47Z,52.038333333333306,2.0777777777777806,294
JAI115,VTJEU,EGLL,VABB,2018-06-10T17:05:00Z,2018-06-10T16:40:00Z,2018-06-10T16:05:00Z,IFR,B77W,H,09R,407,DEP,219179232,2018-06-10T17:14:35Z,51.3513888888889,0.5872222222222219,86,2018-06-10T17:23:27Z,51.169722222222205,2.1569444444444397,251
BAW82DW,GEUYK,EGLL,EIDW,2018-06-10T16:41:00Z,2018-06-10T16:20:00Z,2018-06-10T16:05:00Z,IFR,A320,MJ,09R,519,DEP,219179151,2018-06-10T16:51:32Z,52.141388888888905,-0.524444444444444,160,2018-06-10T17:01:05Z,53.0022222222222,-1.5580555555555602,318
BAW69V,GZBJB,EGLL,KPHL,2018-06-10T16:42:00Z,2018-06-10T16:17:00Z,2018-06-10T16:05:00Z,IFR,B788,H,09R,545,DEP,219179121,2018-06-10T16:52:30Z,51.55194444444439,-1.52361111111111,163,2018-06-10T17:01:02Z,51.8336111111111,-3.08,300
BAW293,GBYGC,EGLL,KIAD,2018-06-10T16:35:00Z,2018-06-10T16:13:00Z,2018-06-10T16:10:00Z,IFR,B744,H,09R,553,DEP,219179363,2018-06-10T16:44:43Z,51.5861111111111,-1.51666666666667,193,2018-06-10T16:52:30Z,51.8411111111111,-3.07722222222222,324
IBE31PW,ECKBX,EGLL,LEMD,2018-06-10T17:10:00Z,2018-06-10T16:50:00Z,2018-06-10T16:10:00Z,IFR,A319,MJ,09R,518,DEP,219180159,2018-06-10T17:20:40Z,51.04194444444439,-1.26555555555556,133,2018-06-10T17:29:17Z,50.226666666666695,-2.20694444444444,271
BAW06P,GEUXK,EGLL,LIRP,2018-06-10T16:26:00Z,2018-06-10T16:04:00Z,2018-06-10T16:10:00Z,IFR,A321,MJ,09R,513,DEP,219179364,2018-06-10T16:35:27Z,51.314722222222194,0.5741666666666669,129,2018-06-10T16:44:02Z,51.2047222222222,2.16583333333333,281
KLM6AK,PHBGX,EGLL,EHAM,2018-06-10T17:14:00Z,2018-06-10T17:00:00Z,2018-06-10T16:10:00Z,IFR,B737,MJ,09R,412,DEP,219181028,2018-06-10T17:24:17Z,51.8,0.47944444444444406,164,2018-06-10T17:33:09Z,52.03638888888891,2.0780555555555598,230
SWR35N,HBIPT,EGLL,LSZH,2018-06-10T17:29:00Z,2018-06-10T17:15:00Z,2018-06-10T16:10:00Z,IFR,A319,MJ,09R,224,DEP,219180983,2018-06-10T17:39:11Z,51.868333333333304,0.408333333333333,157,2018-06-10T17:47:54Z,52.0855555555556,2.0502777777777803,302
BAW35MM,GEUUV,EGLL,LFML,2018-06-10T16:56:00Z,2018-06-10T16:26:00Z,2018-06-10T16:15:00Z,IFR,A320,MJ,09R,325,DEP,219179473,2018-06-10T17:05:55Z,50.8113888888889,-0.49277777777777804,144,2018-06-10T17:14:50Z,49.9425,0.548611111111111,279
SWR349,HBJCC,EGLL,LSGG,2018-06-10T17:43:00Z,2018-06-10T17:23:00Z,2018-06-10T16:15:00Z,IFR,BCS3,MJ,09R,247L,DEP,219181159,2018-06-10T17:52:48Z,50.825,-0.24750000000000003,174,2018-06-10T18:02:00Z,49.987777777777794,0.709444444444444,302
AAL91,N810AN,EGLL,KORD,2018-06-10T16:36:00Z,2018-06-10T16:12:00Z,2018-06-10T16:15:00Z,IFR,B788,H,09R,318,DEP,219179548,2018-06-10T16:44:41Z,52.1422222222222,-0.532777777777778,138,2018-06-10T16:52:53Z,53.02666666666669,-1.4672222222222198,291
AFL2583,VQBOI,EGLL,UUEE,2018-06-10T16:39:00Z,2018-06-10T16:15:00Z,2018-06-10T16:15:00Z,IFR,A321,MJ,09R,419,DEP,219179453,2018-06-10T16:48:47Z,51.8605555555555,0.41694444444444406,114,2018-06-10T16:57:32Z,52.24666666666669,1.9333333333333298,259
BAW155,GZBKE,EGLL,HECA,2018-06-10T17:03:00Z,2018-06-10T16:39:00Z,2018-06-10T16:15:00Z,IFR,B789,H,09R,532,DEP,219179773,2018-06-10T17:12:32Z,51.29250000000001,0.5641666666666669,107,2018-06-10T17:21:04Z,51.066944444444395,2.11861111111111,283
BAW956M,GEUPZ,EGLL,EDDM,2018-06-10T17:08:00Z,2018-06-10T16:51:00Z,2018-06-10T16:20:00Z,IFR,A319,MJ,09R,511,DEP,219179586,2018-06-10T17:17:32Z,51.31166666666668,0.571666666666667,77,2018-06-10T17:26:41Z,51.128611111111105,2.14166666666667,281
FCB327,5BDDC,EGLL,LCLK,2018-06-10T16:47:00Z,2018-06-10T16:32:00Z,2018-06-10T16:20:00Z,IFR,A320,MJ,09R,316,DEP,219179655,2018-06-10T16:56:37Z,50.846666666666685,-0.12250000000000001,184,2018-06-10T17:05:20Z,50.010277777777794,0.776111111111111,300
BAW5VY,GXLEK,EGLL,CYVR,2018-06-10T16:49:00Z,2018-06-10T16:24:00Z,2018-06-10T16:20:00Z,IFR,A388,H,09R,303,DEP,219179690,2018-06-10T17:00:00Z,52.1438888888889,-0.47444444444444406,143,2018-06-10T17:09:06Z,53.01916666666669,-1.4980555555555601,270
BAW4LT,GEUYN,EGLL,EDDL,2018-06-10T16:44:00Z,2018-06-10T16:21:00Z,2018-06-10T16:25:00Z,IFR,A320,MJ,09R,515,DEP,219179741,2018-06-10T16:53:49Z,51.8138888888889,0.465555555555556,177,2018-06-10T17:02:00Z,52.16638888888891,1.99305555555556,307
SHT8H,GEUXM,EGLL,EGPH,2018-06-10T17:20:00Z,2018-06-10T17:03:00Z,2018-06-10T16:30:00Z,IFR,A321,MJ,09R,509,DEP,219180929,2018-06-10T17:29:26Z,52.1438888888889,-0.45472222222222203,169,2018-06-10T17:38:18Z,53.0952777777778,-1.11416666666667,310
DAL2,N854NW,EGLL,KJFK,2018-06-10T16:51:00Z,2018-06-10T16:25:00Z,2018-06-10T16:30:00Z,IFR,A332,H,09R,313,DEP,219179904,2018-06-10T17:01:10Z,51.5958333333333,-1.5133333333333299,154,2018-06-10T17:09:58Z,51.8838888888889,-3.0625,290
SAS810,EISIA,EGLL,ENGM,2018-06-10T17:11:00Z,2018-06-10T16:58:00Z,2018-06-10T16:30:00Z,IFR,A320,MJ,09R,236L,DEP,219180014,2018-06-10T17:20:26Z,51.896111111111104,0.37361111111111095,169,2018-06-10T17:29:08Z,52.5852777777778,1.5544444444444399,319
DLH8U,DAINJ,EGLL,EDDF,2018-06-10T17:33:00Z,2018-06-10T17:12:00Z,2018-06-10T16:30:00Z,IFR,A320,MJ,09R,236R,DEP,219179952,2018-06-10T17:41:20Z,51.3183333333333,0.5750000000000001,179,2018-06-10T17:49:02Z,51.106111111111105,2.13388888888889,311
EWG7PY,DAGWJ,EGLL,EDDL,2018-06-10T17:17:00Z,2018-06-10T16:57:00Z,2018-06-10T16:35:00Z,IFR,A319,MJ,09R,225,DEP,219180103,2018-06-10T17:26:42Z,51.39,0.5972222222222219,167,2018-06-10T17:34:44Z,51.16888888888891,2.1577777777777807,302
AFR38YU,FGRHY,EGLL,LFPG,2018-06-10T16:54:00Z,2018-06-10T16:32:00Z,2018-06-10T16:35:00Z,IFR,A319,MJ,09R,415,DEP,219180151,2018-06-10T17:04:09Z,50.851944444444385,-0.0991666666666667,173,2018-06-10T17:14:34Z,50.0827777777778,0.9711111111111109,230
BAW03DV,GEUPW,EGLL,EDDV,2018-06-10T16:55:00Z,2018-06-10T16:32:00Z,2018-06-10T16:35:00Z,IFR,A319,MJ,09R,517,DEP,219180134,2018-06-10T17:04:00Z,51.891388888888905,0.38111111111111096,160,2018-06-10T17:12:34Z,52.203333333333305,1.96861111111111,317
SHT1470,GEUPJ,EGLL,EGPE,2018-06-10T16:53:00Z,2018-06-10T16:36:00Z,2018-06-10T16:35:00Z,IFR,A319,MJ,09R,522,DEP,219180090,2018-06-10T17:03:46Z,52.12833333333331,-0.6902777777777779,145,2018-06-10T17:12:58Z,53.0125,-1.5197222222222198,309
BAW736,GEUOB,EGLL,LSGG,2018-06-10T17:07:00Z,2018-06-10T16:47:00Z,2018-06-10T16:40:00Z,IFR,A319,MJ,09R,523,DEP,219180288,2018-06-10T17:15:39Z,50.85305555555549,-0.0916666666666667,198,2018-06-10T17:24:13Z,49.9958333333333,0.7341666666666669,348
BAW6NC,GZBKM,EGLL,CYUL,2018-06-10T16:58:00Z,2018-06-10T16:40:00Z,2018-06-10T16:40:00Z,IFR,B789,H,09R,536,DEP,219180227,2018-06-10T17:08:32Z,51.587222222222195,-1.5174999999999998,145,2018-06-10T17:17:10Z,51.84027777777779,-3.07833333333333,294
BAW356,GEUXH,EGLL,LFMN,2018-06-10T17:45:00Z,2018-06-10T17:13:00Z,2018-06-10T16:40:00Z,IFR,A321,MJ,09R,513,DEP,219180953,2018-06-10T17:54:07Z,50.815,-0.3538888888888891,207,2018-06-10T18:02:55Z,49.9375,0.529722222222222,329
BAW680,GEUYJ,EGLL,LTBA,2018-06-10T17:57:00Z,2018-06-10T17:14:00Z,2018-06-10T16:40:00Z,IFR,A320,MJ,09R,512,DEP,219181043,2018-06-10T18:06:28Z,51.3433333333333,0.583888888888889,135,2018-06-10T18:15:01Z,51.2372222222222,2.17638888888889,275
RBA98,V8DLA,EGLL,OMDB,2018-06-10T17:52:00Z,2018-06-10T17:25:00Z,2018-06-10T16:45:00Z,IFR,B788,H,09R,414,DEP,219180454,2018-06-10T18:01:00Z,51.3627777777778,0.5916666666666669,140,2018-06-10T18:09:19Z,51.1011111111111,2.1325,265
BAW792,GEUPF,EGLL,ESGG,2018-06-10T16:57:00Z,2018-06-10T16:43:00Z,2018-06-10T16:45:00Z,IFR,A319,MJ,09R,555,DEP,219180408,2018-06-10T17:06:29Z,51.8936111111111,0.377222222222222,151,2018-06-10T17:15:17Z,52.21666666666669,1.95527777777778,299
AFL2573,VPBMF,EGLL,UUEE,2018-06-10T18:43:00Z,2018-06-10T18:25:00Z,2018-06-10T16:50:00Z,IFR,A320,MJ,09R,420,DEP,219182861,2018-06-10T18:53:16Z,51.8480555555555,0.430833333333333,146,2018-06-10T19:01:56Z,52.194722222222204,1.97388888888889,286
BEL93B,OOSSX,EGLL,EBBR,2018-06-10T18:17:00Z,2018-06-10T17:57:00Z,2018-06-10T16:50:00Z,IFR,A319,MJ,09R,219,DEP,219181375,2018-06-10T18:25:46Z,51.3813888888889,0.5961111111111109,172,2018-06-10T18:33:42Z,51.1736111111111,2.1594444444444396,210
DLH1MF,DAIUT,EGLL,EDDM,2018-06-10T18:20:00Z,2018-06-10T18:02:00Z,2018-06-10T16:50:00Z,IFR,A320,MJ,09R,247R,DEP,NA,NA,NA,NA,NA,NA,NA,NA,NA
TAR791,TSIMF,EGLL,DTTA,2018-06-10T18:28:00Z,2018-06-10T18:08:00Z,2018-06-10T16:55:00Z,IFR,A320,MJ,09R,403,DEP,219183141,2018-06-10T18:37:51Z,50.8411111111111,-0.146388888888889,170,2018-06-10T18:46:49Z,49.9611111111111,0.6202777777777779,308
SHT86V,GEUUX,EGLL,EGAC,2018-06-10T17:09:00Z,2018-06-10T16:50:00Z,2018-06-10T16:55:00Z,IFR,A320,MJ,09R,502,DEP,219180644,2018-06-10T17:18:31Z,52.1430555555555,-0.494722222222222,191,2018-06-10T17:27:51Z,52.995000000000005,-1.58861111111111,338
SHT18E,GEUYE,EGLL,EGPD,2018-06-10T17:54:00Z,2018-06-10T17:33:00Z,2018-06-10T17:00:00Z,IFR,A320,MJ,09R,519,DEP,219181788,2018-06-10T18:04:19Z,52.14194444444439,-0.5438888888888891,159,2018-06-10T18:13:19Z,53.0902777777778,-1.14722222222222,298
BAW3PG,GEUPX,EGLL,LFPG,2018-06-10T18:51:00Z,2018-06-10T18:38:00Z,2018-06-10T17:00:00Z,IFR,A319,MJ,09R,541,DEP,219183513,2018-06-10T19:00:55Z,50.8463888888889,-0.125277777777778,183,2018-06-10T19:11:12Z,50.04,0.862222222222222,250
UAL921,N69063,EGLL,KEWR,2018-06-10T17:13:00Z,2018-06-10T16:52:00Z,2018-06-10T17:00:00Z,IFR,B764,H,09R,232,DEP,219180965,2018-06-10T17:22:56Z,51.59611111111111,-1.5144444444444398,172,2018-06-10T17:31:04Z,51.8627777777778,-3.0725,305
ACA859,CFGDX,EGLL,CYYZ,2018-06-10T17:16:00Z,2018-06-10T17:00:00Z,2018-06-10T17:00:00Z,IFR,B789,H,09R,241,DEP,219180848,2018-06-10T17:27:08Z,51.61,-1.51027777777778,112,2018-06-10T17:36:17Z,52.0636111111111,-2.9769444444444395,265
PIA788,APBGL,EGLL,OPKC,2018-06-10T18:30:00Z,2018-06-10T18:06:00Z,2018-06-10T17:05:00Z,IFR,B772,H,09R,326,DEP,219182607,2018-06-10T18:39:40Z,51.371666666666684,0.5924999999999999,116,2018-06-10T18:48:11Z,51.1897222222222,2.1633333333333304,265
FIN4CE,OHLXD,EGLL,EFHK,2018-06-10T17:56:00Z,2018-06-10T17:33:00Z,2018-06-10T17:05:00Z,IFR,A320,MJ,09R,332,DEP,219181061,2018-06-10T18:06:02Z,51.83194444444439,0.447222222222222,120,2018-06-10T18:13:54Z,52.25666666666669,1.9222222222222198,230
